player_name,age,current_club,interested_club,probability
Veljko Milosavljevic,,Veljko Milosavljevic,N/A,17
Juan Giménez,,Juan Giménez,N/A,19
Ansu Fati,,Ansu Fati,N/A,22
Jobe Bellingham,,Jobe Bellingham,N/A,19
Milos Kerkez,,Milos Kerkez,N/A,21
Cadu,,Cadu,N/A,27
Álvaro Carreras,,Álvaro Carreras,N/A,22
Lucas Chevalier,,Lucas Chevalier,N/A,23
Jonathan Tah,,Jonathan Tah,N/A,29
Theo Hernández,,Theo Hernández,N/A,27
Georgiy Sudakov,,Georgiy Sudakov,N/A,22
Florian Wirtz,,Florian Wirtz,N/A,22
David Strelec,,David Strelec,N/A,24
Yuri Alberto,,Yuri Alberto,N/A,24
Matija Frigan,,Matija Frigan,N/A,22
