,playerName,total_xT,total_xA,total_assists,player,total_xg,total_goals
0,Aaron Martin,5.98124289,6.3745,5.0,Aaron Martin,0.695314852520823,0
1,Tommaso Augello,5.51965529,5.33,6.0,Tommaso Augello,0.1898741088807581,0
2,Juan Miranda,5.0880347399999994,5.39,5.0,Juan Miranda,0.670183299109339,0
3,Gabriele Zappa,4.74859851,2.58,0.0,Gabriele Zappa,0.7887675771489735,2
4,Angelino,4.67610607,2.3825,1.0,Angelino,1.0493302885442966,2
5,Ederson,4.62983529,4.23,1.0,Ederson,4.337195717729627,4
6,Nuno Tavares,4.56728683,6.17,7.0,Nuno Tavares,1.516598575748502,0
7,Raoul Bellanova,4.46489296,5.28,8.0,Raoul Bellanova,2.0139983603730793,0
8,Alessandro Bastoni,4.45257654,3.44,4.0,Alessandro Bastoni,0.6720281783491368,1
9,Giovanni Di Lorenzo,4.391541,3.32,2.0,Giovanni Di Lorenzo,3.4887246061116457,3
