"team","total_xg","total_goals"
Nantes,42.81,36
Bournemouth,68.61,54
Verona,35.69,28
Empoli,35.34,28
Wolverhampton Wanderers,43.23,50
Las Palmas,37.95,38
Rennes,53.29,49
Alaves,41.73,35
Venezia,40.67,29
Real Madrid,80.77,72
Lyon,62.43,60
Manchester City,71.02,66
Hoffenheim,46.62,46
Bochum,43.86,28
Augsburg,37.93,34
Athletic Club,57.54,50
Newcastle United,68.66,66
Monza,31.43,26
Tottenham,63.74,60
Genoa,38.18,30
Reims,41.89,31
FC Heidenheim,41.89,36
Montpellier,38.42,23
Atletico Madrid,63.63,60
Leicester,37.43,31
Roma,59.09,50
Sevilla,43.41,37
Saint-Etienne,40.36,37
Marseille,66.23,67
Strasbourg,53.31,52
Toulouse,51.67,40
Everton,43.22,36
Udinese,43.74,39
Atalanta,78.60,71
Bologna,56.06,53
VfB Stuttgart,71.49,58
Real Sociedad,45.01,31
Fulham,54.55,50
Brentford,61.95,61
Como,47.89,43
Brighton,60.70,57
Manchester United,54.40,40
Torino,36.76,36
Werder Bremen,54.52,49
Nice,64.67,56
Angers,39.78,31
Le Havre,43.99,35
Mainz 05,53.83,51
Holstein Kiel,41.97,47
AC Milan,66.74,56
Monaco,77.41,63
Girona,44.90,41
Ipswich,38.58,34
Nottingham Forest,50.27,55
Brest,53.14,51
St. Pauli,39.58,26
Real Valladolid,34.76,26
Getafe,40.00,31
Lille,58.89,50
Lens,57.77,36
Villarreal,69.36,59
Borussia M.Gladbach,53.71,53
Bayer Leverkusen,62.98,68
Eintracht Frankfurt,71.33,65
Leganes,35.06,34
Barcelona,94.83,92
Aston Villa,65.00,54
Rayo Vallecano,46.65,34
Espanyol,35.18,36
Juventus,54.30,51
Paris Saint Germain,101.00,87
Fiorentina,50.18,52
Crystal Palace,65.48,44
Arsenal,72.01,64
Southampton,38.21,24
Real Betis,58.69,51
Chelsea,71.62,59
Mallorca,42.86,32
Lecce,35.81,25
RasenBallsport Leipzig,51.29,49
Napoli,55.76,54
West Ham,50.23,39
Bayern Munich,93.48,92
Union Berlin,42.26,34
Osasuna,45.33,41
Lazio,62.15,58
Inter,73.98,72
Auxerre,42.10,46
Celta Vigo,55.73,55
Valencia,45.89,41
Cagliari,46.61,35
Wolfsburg,53.10,52
Borussia Dortmund,67.16,66
Parma Calcio 1913,45.47,40
Liverpool,89.85,84
Freiburg,55.05,45
